"Abnormality NEC","Blood","Circulatory","Congenital","Digestive","Ear","Endocrine/metabolic","External","Eye","Genitourinary","Infectious disease","Mental/behavioural","Musculoskeletal","Neoplasm","Nervous system","Not recorded","Obstetric/puerperium","Other","Perinatal","Respiratory","Skin","Died of Abnormality NEC","Died of Blood","Died of Circulatory","Died of Congenital","Died of Digestive","Died of Ear","Died of Endocrine/metabolic","Died of External","Died of Eye","Died of Genitourinary","Died of Infectious disease","Died of Mental/behavioural","Died of Musculoskeletal","Died of Neoplasm","Died of Nervous system","Died of Obstetric/puerperium","Died of Perinatal","Died of Respiratory","Died of Skin","Died of unrecorded"
"v3_all_q1",14015,473,4874,80,7957,357,728,15007,408,4600,4579,967,2439,1351,1500,1594,1237,468,0,5865,2455,36,0,436,0,39,0,31,269,0,0,9,28,0,88,19,0,0,39,0,25
"v4_all_q1",14057,467,4570,75,8034,352,681,14629,413,4596,4274,836,2530,1293,1526,1574,1333,438,0,5695,2498,31,0,365,0,34,0,25,256,0,0,8,16,0,58,12,0,0,28,0,22
"v3_all_q2",15362,515,6217,56,7716,311,1003,11517,312,4311,4242,1155,3030,1888,1758,1591,737,457,0,7425,2370,27,0,707,0,73,0,40,343,0,11,14,67,0,174,91,0,0,94,0,28
"v4_all_q2",14354,448,6314,52,7268,327,851,10767,307,3918,4102,908,2855,1599,1615,1397,586,401,0,6470,2190,24,0,679,0,60,0,37,226,0,8,13,33,0,156,33,0,0,55,0,28
"v3_all_q3",10643,414,5401,32,4995,237,934,6986,201,2801,3028,867,2036,1516,1215,969,219,296,0,6442,1458,23,0,668,11,51,0,43,186,0,12,5,116,0,304,150,0,0,97,0,27
"v4_all_q3",9110,312,4475,28,4111,189,694,5942,174,2427,2719,725,1726,1087,989,822,203,249,0,5324,1144,23,0,500,5,33,0,35,177,0,5,0,52,5,165,40,0,0,70,0,19
"v3_all_q4",5183,227,2946,13,2398,81,498,3284,90,1460,1265,471,1058,832,548,484,58,109,0,3347,633,18,5,409,0,26,0,24,71,0,0,6,98,5,232,135,0,0,88,0,19
"v4_all_q4",6178,253,3340,21,2808,111,552,3988,103,1613,1450,558,1237,805,688,586,100,148,0,3669,751,13,0,375,5,33,0,28,112,0,9,0,35,0,151,61,0,0,56,0,7
"v3_all_q5",5358,210,3106,14,2323,74,521,3662,92,1597,1151,517,1121,932,588,490,42,140,0,3555,581,29,0,549,0,36,0,28,58,0,23,7,238,8,317,211,0,0,138,0,10
"v4_all_q5",4974,200,2838,8,2271,72,502,3333,80,1393,1122,493,1015,705,565,431,71,132,0,3231,637,10,0,404,0,27,0,16,87,0,9,7,76,0,171,75,0,0,81,0,8
"v3_all_q6",5246,235,2959,9,2201,69,480,3483,67,1619,1048,592,1054,879,564,415,28,126,0,3766,571,54,0,648,0,38,0,41,64,0,32,14,431,15,389,295,0,0,194,6,13
"v4_all_q6",4194,192,2220,7,1812,53,427,2693,56,1209,929,413,817,642,454,357,33,97,0,2767,469,19,0,351,5,29,0,27,72,0,5,5,72,6,170,98,0,0,68,0,15
"v3_all_q7",3710,181,2176,0,1533,35,360,2394,39,1160,756,408,631,591,351,281,23,78,0,2796,404,36,0,490,0,33,0,22,38,0,20,11,330,8,272,242,0,0,169,0,14
"v4_all_q7",3355,152,1880,5,1459,45,343,2200,48,998,708,400,640,483,365,288,13,84,0,2378,368,13,0,310,0,17,0,14,49,0,19,0,147,0,151,130,0,0,85,0,11
"v3_all_q8",2362,128,1434,9,1017,25,278,1588,23,799,495,285,481,419,234,211,10,42,0,2011,295,24,0,354,0,32,0,22,25,0,21,11,220,10,212,158,0,0,130,0,9
