"N","sex_prop_male","age_mean","age_sd","simd_quintile1","simd_quintile2","simd_quintile3","simd_quintile4","simd_quintile5","ethnicity_white","ethnicity_nonwhite","Urbanrural_urban","Urbanrural_rural","Mainlandisland_mainland","Mainlandisland_island","mean_v3","median_v3","sd_v3","mean_v4","median_v4","sd_v4"
"all",4286341,0.453911622990331,43.2526079936244,23.7543042463039,0.215391635896444,0.205135802307843,0.197707788531057,0.194500157593621,0.187264615671035,0.667701659760621,0.217673068941552,0.833111038062534,0.166227092058238,0.980725518571668,0.0186126115491045,0.0823772163717259,0.04,0.105184684714654,0.0900633000344835,0.0440899077291156,0.117411998457691
"Sex_Male",1945620,1,42.6783313288309,23.8566217395259,0.219191825741923,0.204786648985927,0.197285698132215,0.193706890348578,0.185028936791357,0.651186768228123,0.229852694770819,0.830001747514931,0.169255558639405,0.980119961760262,0.0191373443940749,0.0809453130621601,0.04,0.10343103339749,0.0907031753619504,0.0458322144411652,0.117127398727182
"Sex_Female",2340721,0,43.729949874419,23.6583192619642,0.21223289747048,0.205426020444128,0.198058632361567,0.195159525633341,0.189122924090483,0.681428927240795,0.207549297844553,0.835695497242089,0.163709814198275,0.981228860680107,0.0181764507602572,0.0835674221746206,0.04,0.106605765794788,0.0895314321892229,0.0425285366939906,0.117645411685604
"SIMD_Most_deprived",923242,0.46192005996261,40.3815261870669,23.2152186923797,1,0,0,0,0,0.702997697245143,0.183465440263766,0.964624659623371,0.034684297291501,0.997470868959601,0.00183808795527067,0.100165243782237,0.05,0.12220496734927,0.109386300573332,0.0583329749455966,0.132219559259264
"SIMD_Least_deprived",802680,0.448492549957642,44.0566402551453,24.1465981038136,0,0,0,0,1,0.646360940848159,0.239481487018488,0.91888548362984,0.0806747396222654,0.997340160462451,0.00222006278965466,0.0654677829271939,0.03,0.0852056001105785,0.0709724277798306,0.0322413520149125,0.0986516020851958
"Age_O65",883869,0.440552842106692,75.4587987586396,7.21603545524291,0.171029869811024,0.202622786860949,0.215620188059543,0.208139441478319,0.202587713790166,0.545387382066799,0.138721914672876,0.802683429331722,0.196793868774671,0.975645712203958,0.0238315859024358,0.167279347957672,0.12,0.14724549317861,0.189344072528761,0.12185770712214,0.174020993631695
"Age_U25",1100409,0.474698044090879,12.1231878328876,7.50939535705026,0.237695256945372,0.203470709527094,0.184933965461933,0.185054829613353,0.188845238452248,0.696783650442699,0.24866754088707,0.849677710742097,0.149628001952001,0.983617909340981,0.0156878033531169,0.0462796196686868,0.03,0.057061489422359,0.0548248860868888,0.0325990923867629,0.0592122898649944
"Ethnicity_White",2861997,0.442684600997136,41.3556569066984,22.6419559500749,0.226777666084206,0.210069402588472,0.192913200118658,0.188960365786547,0.181279365422116,1,0,0.839040711782717,0.160342585963577,0.983131358977665,0.016251938768629,0.0755299324213128,0.04,0.0878903621342075,0.0798147914707353,0.0461666917101297,0.090320646501362
"Ethnicity_Nonwhite",933021,0.479309683276153,39.2898037664747,22.1485514932997,0.18154253762777,0.190088969058574,0.208217178391483,0.214124869643877,0.206026445278295,0,1,0.815689035938098,0.183485687889126,0.97434784426074,0.0248268795664835,0.0454359548177372,0.03,0.0441287390138415,0.0488999531504661,0.03079466724255,0.0451220591952791
"Urban_rural_Urban",3570998,0.452217559348955,42.7011964162399,23.693148357335,0.249393026823314,0.217838542614698,0.169140951633129,0.157082697890058,0.206544781038802,0.672454031057984,0.213121093879078,1,0,0.994200220778617,0.00579977922138293,0.0836744405905576,0.04,0.107033517508019,0.0913582565166225,0.0446366093966036,0.119112825708567
